event_id,entity_type,entity_id,event_type,timestamp,actor_id,field,old_value,new_value,source_system
EVT_0420001,vendor,VND_042007,master_data_changed,2025-01-14T11:00:00,EMP_04223,vendor_status,active,on_hold,VendorManagement
EVT_0420002,vendor,VND_042023,master_data_changed,2025-02-12T11:00:00,EMP_04205,bank_account_token,BA_TKN_042_0000023,BA_TKN_042_0000042,VendorManagement
EVT_0420003,vendor,VND_042024,master_data_changed,2025-02-05T11:00:00,EMP_04215,vendor_status,active,on_hold,VendorManagement
EVT_0420004,purchase_order,PO_0420001,created,2026-03-19T09:00:00,EMP_04215,,,,ERP
EVT_0420005,purchase_order,PO_0420002,created,2025-03-23T09:00:00,EMP_04209,,,,ERP
EVT_0420006,purchase_order,PO_0420003,created,2025-06-18T09:00:00,EMP_04212,,,,ERP
EVT_0420007,purchase_order,PO_0420004,created,2025-04-02T09:00:00,EMP_04215,,,,ERP
EVT_0420008,purchase_order,PO_0420005,created,2026-04-06T09:00:00,EMP_04223,,,,ERP
EVT_0420009,purchase_order,PO_0420006,created,2025-08-09T09:00:00,EMP_04211,,,,ERP
EVT_0420010,purchase_order,PO_0420007,created,2025-07-26T09:00:00,EMP_04211,,,,ERP
EVT_0420011,purchase_order,PO_0420008,created,2025-05-27T09:00:00,EMP_04223,,,,ERP
EVT_0420012,purchase_order,PO_0420009,created,2025-03-28T09:00:00,EMP_04223,,,,ERP
EVT_0420013,purchase_order,PO_0420010,created,2025-01-13T09:00:00,EMP_04222,,,,ERP
EVT_0420014,purchase_order,PO_0420011,created,2025-07-24T09:00:00,EMP_04215,,,,ERP
EVT_0420015,purchase_order,PO_0420012,created,2025-10-13T09:00:00,EMP_04219,,,,ERP
EVT_0420016,purchase_order,PO_0420013,created,2026-02-22T09:00:00,EMP_04218,,,,ERP
EVT_0420017,purchase_order,PO_0420014,created,2025-08-14T09:00:00,EMP_04204,,,,ERP
EVT_0420018,purchase_order,PO_0420015,created,2025-12-22T09:00:00,EMP_04215,,,,ERP
EVT_0420019,purchase_order,PO_0420016,created,2026-04-09T09:00:00,EMP_04215,,,,ERP
EVT_0420020,purchase_order,PO_0420017,created,2025-04-23T09:00:00,EMP_04216,,,,ERP
EVT_0420021,purchase_order,PO_0420018,created,2025-10-31T09:00:00,EMP_04210,,,,ERP
EVT_0420022,purchase_order,PO_0420019,created,2025-06-17T09:00:00,EMP_04203,,,,ERP
EVT_0420023,purchase_order,PO_0420020,created,2025-11-29T09:00:00,EMP_04202,,,,ERP
EVT_0420024,purchase_order,PO_0420021,created,2025-08-31T09:00:00,EMP_04207,,,,ERP
EVT_0420025,purchase_order,PO_0420022,created,2025-01-14T09:00:00,EMP_04223,,,,ERP
EVT_0420026,purchase_order,PO_0420023,created,2026-02-05T09:00:00,EMP_04202,,,,ERP
EVT_0420027,purchase_order,PO_0420024,created,2025-08-10T09:00:00,EMP_04217,,,,ERP
EVT_0420028,purchase_order,PO_0420025,created,2026-03-13T09:00:00,EMP_04220,,,,ERP
