bank_statement_id,bank_account_id,statement_date,opening_balance,closing_balance,total_debits,total_credits,source_system
BST_0420001,BANK_ACCT_OPERATING_USD,2025-01-31,5000000.00,5000000.00,0.00,0.00,Bank
BST_0420002,BANK_ACCT_OPERATING_USD,2025-02-28,5000000.00,5000000.00,0.00,0.00,Bank
BST_0420003,BANK_ACCT_OPERATING_USD,2025-03-31,5000000.00,4958251.36,41748.64,0.00,Bank
BST_0420004,BANK_ACCT_OPERATING_USD,2025-04-30,4958251.36,4937475.84,20775.52,0.00,Bank
BST_0420005,BANK_ACCT_OPERATING_USD,2025-05-31,4937475.84,4916100.72,21375.12,0.00,Bank
BST_0420006,BANK_ACCT_OPERATING_USD,2025-06-30,4916100.72,4909596.66,6504.06,0.00,Bank
BST_0420007,BANK_ACCT_OPERATING_USD,2025-07-31,4909596.66,4878357.79,31238.87,0.00,Bank
BST_0420008,BANK_ACCT_OPERATING_USD,2025-08-31,4878357.79,4872475.28,5882.51,0.00,Bank
BST_0420009,BANK_ACCT_OPERATING_USD,2025-09-30,4872475.28,4855130.45,17344.83,0.00,Bank
BST_0420010,BANK_ACCT_OPERATING_USD,2025-10-31,4855130.45,4783413.51,71716.94,0.00,Bank
BST_0420011,BANK_ACCT_OPERATING_USD,2025-11-30,4783413.51,4768756.90,14656.61,0.00,Bank
BST_0420012,BANK_ACCT_OPERATING_USD,2025-12-31,4768756.90,4746305.02,22451.88,0.00,Bank
BST_0420013,BANK_ACCT_OPERATING_USD,2026-01-31,4746305.02,4731972.66,14332.36,0.00,Bank
BST_0420014,BANK_ACCT_OPERATING_USD,2026-02-28,4731972.66,4718562.03,13410.63,0.00,Bank
BST_0420015,BANK_ACCT_OPERATING_USD,2026-03-31,4718562.03,4706782.62,11779.41,0.00,Bank
BST_0420016,BANK_ACCT_OPERATING_USD,2026-04-30,4706782.62,4623612.48,83170.14,0.00,Bank
BST_0420017,BANK_ACCT_OPERATING_USD,2026-05-31,4623612.48,4592777.02,30835.46,0.00,Bank
BST_0420018,BANK_ACCT_OPERATING_USD,2026-06-30,4592777.02,4503400.15,89376.87,0.00,Bank
BST_0420019,BANK_ACCT_DISBURSEMENTS_USD,2025-01-31,7000000.00,6997482.63,2517.37,0.00,Bank
BST_0420020,BANK_ACCT_DISBURSEMENTS_USD,2025-02-28,6997482.63,6995206.39,2276.24,0.00,Bank
BST_0420021,BANK_ACCT_DISBURSEMENTS_USD,2025-03-31,6995206.39,6987630.70,7575.69,0.00,Bank
BST_0420022,BANK_ACCT_DISBURSEMENTS_USD,2025-04-30,6987630.70,6975373.60,12257.10,0.00,Bank
BST_0420023,BANK_ACCT_DISBURSEMENTS_USD,2025-05-31,6975373.60,6896708.61,78664.99,0.00,Bank
BST_0420024,BANK_ACCT_DISBURSEMENTS_USD,2025-06-30,6896708.61,6879176.52,17532.09,0.00,Bank
BST_0420025,BANK_ACCT_DISBURSEMENTS_USD,2025-07-31,6879176.52,6835529.98,43646.54,0.00,Bank
BST_0420026,BANK_ACCT_DISBURSEMENTS_USD,2025-08-31,6835529.98,6816571.59,18958.39,0.00,Bank
BST_0420027,BANK_ACCT_DISBURSEMENTS_USD,2025-09-30,6816571.59,6799901.78,16669.81,0.00,Bank
BST_0420028,BANK_ACCT_DISBURSEMENTS_USD,2025-10-31,6799901.78,6757629.54,42272.24,0.00,Bank
BST_0420029,BANK_ACCT_DISBURSEMENTS_USD,2025-11-30,6757629.54,6728439.49,29190.05,0.00,Bank
BST_0420030,BANK_ACCT_DISBURSEMENTS_USD,2025-12-31,6728439.49,6704247.66,24191.83,0.00,Bank
BST_0420031,BANK_ACCT_DISBURSEMENTS_USD,2026-01-31,6704247.66,6688704.49,15543.17,0.00,Bank
BST_0420032,BANK_ACCT_DISBURSEMENTS_USD,2026-02-28,6688704.49,6678596.29,10108.20,0.00,Bank
BST_0420033,BANK_ACCT_DISBURSEMENTS_USD,2026-03-31,6678596.29,6674108.58,4487.71,0.00,Bank
BST_0420034,BANK_ACCT_DISBURSEMENTS_USD,2026-04-30,6674108.58,6623684.54,50424.04,0.00,Bank
BST_0420035,BANK_ACCT_DISBURSEMENTS_USD,2026-05-31,6623684.54,6609015.45,14669.09,0.00,Bank
BST_0420036,BANK_ACCT_DISBURSEMENTS_USD,2026-06-30,6609015.45,6520056.41,88959.04,0.00,Bank
BST_0420037,BANK_ACCT_GLOBAL,2025-01-31,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420038,BANK_ACCT_GLOBAL,2025-02-28,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420039,BANK_ACCT_GLOBAL,2025-03-31,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420040,BANK_ACCT_GLOBAL,2025-04-30,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420041,BANK_ACCT_GLOBAL,2025-05-31,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420042,BANK_ACCT_GLOBAL,2025-06-30,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420043,BANK_ACCT_GLOBAL,2025-07-31,9000000.00,9000000.00,0.00,0.00,Bank
BST_0420044,BANK_ACCT_GLOBAL,2025-08-31,9000000.00,8996851.08,3148.92,0.00,Bank
BST_0420045,BANK_ACCT_GLOBAL,2025-09-30,8996851.08,8996851.08,0.00,0.00,Bank
BST_0420046,BANK_ACCT_GLOBAL,2025-10-31,8996851.08,8979990.55,16860.53,0.00,Bank
BST_0420047,BANK_ACCT_GLOBAL,2025-11-30,8979990.55,8979990.55,0.00,0.00,Bank
BST_0420048,BANK_ACCT_GLOBAL,2025-12-31,8979990.55,8960774.98,19215.57,0.00,Bank
BST_0420049,BANK_ACCT_GLOBAL,2026-01-31,8960774.98,8950962.42,9812.56,0.00,Bank
BST_0420050,BANK_ACCT_GLOBAL,2026-02-28,8950962.42,8937037.85,13924.57,0.00,Bank
BST_0420051,BANK_ACCT_GLOBAL,2026-03-31,8937037.85,8934277.66,2760.19,0.00,Bank
BST_0420052,BANK_ACCT_GLOBAL,2026-04-30,8934277.66,8930982.04,3295.62,0.00,Bank
BST_0420053,BANK_ACCT_GLOBAL,2026-05-31,8930982.04,8892180.45,38801.59,0.00,Bank
BST_0420054,BANK_ACCT_GLOBAL,2026-06-30,8892180.45,8879174.60,13005.85,0.00,Bank
