vendor_id,vendor_name,vendor_type,tax_id_hash,country,currency,payment_terms,default_payment_method,bank_account_token,bank_routing_token,vendor_status,created_at,updated_at,source_system
VND_042001,Synthetic Summit Supply 0001,supplier,42ac1ea3e42c20397cd3a767,US,USD,NET30,ACH,BA_TKN_042_0000001,BR_TKN_0001,on_hold,2021-02-22T10:00:00,2021-02-22T10:00:00,VendorManagement
VND_042002,Synthetic Atlas Solutions 0002,services,15dd3bdc1fa20d10b70e2e18,US,USD,NET30,ACH,BA_TKN_042_0000002,BR_TKN_0002,active,2024-01-23T10:00:00,2024-01-23T10:00:00,VendorManagement
VND_042003,Synthetic North Systems 0003,software,b5fcef648fc9e7d57ff5b1f6,US,USD,NET45,ACH,BA_TKN_042_0000003,BR_TKN_0003,active,2021-02-25T10:00:00,2021-02-25T10:00:00,VendorManagement
VND_042004,Synthetic Amber Logistics 0004,software,b44b7f6aaaae4a98bc45d8de,US,USD,NET30,ACH,BA_TKN_042_0000004,BR_TKN_0004,active,2022-07-25T10:00:00,2022-07-25T10:00:00,VendorManagement
VND_042005,Synthetic Atlas Consulting 0005,services,4a7714ccbbc710e7b79d4b86,CA,CAD,NET30,ACH,BA_TKN_042_0000005,BR_TKN_0005,active,2022-11-22T10:00:00,2022-11-22T10:00:00,VendorManagement
VND_042006,Synthetic Summit Works 0006,services,5e74ff210be4d84d009cc474,US,USD,DUE_ON_RECEIPT,ACH,BA_TKN_042_0000006,BR_TKN_0006,active,2021-03-31T10:00:00,2021-03-31T10:00:00,VendorManagement
VND_042007,Synthetic Quartz Services 0007,services,751c579308a669cd44ef4d11,US,USD,NET45,ACH,BA_TKN_042_0000007,BR_TKN_0007,on_hold,2024-07-12T10:00:00,2025-01-14T11:00:00,VendorManagement
VND_042008,Synthetic Atlas Systems 0008,logistics,268974c69a8d80eb026851fd,US,USD,NET30,ACH,BA_TKN_042_0000008,BR_TKN_0008,active,2022-08-17T10:00:00,2022-08-17T10:00:00,VendorManagement
VND_042009,Synthetic Delta Services 0009,supplier,59aba3dcf372a63d6190b400,DE,EUR,NET30,check,BA_TKN_042_0000009,BR_TKN_0009,active,2021-12-01T10:00:00,2021-12-01T10:00:00,VendorManagement
VND_042010,Synthetic Silver Logistics 0010,services,0e29e6f387b8898c548dca0d,US,USD,NET30,ACH,BA_TKN_042_0000010,BR_TKN_0010,active,2024-06-02T10:00:00,2024-06-02T10:00:00,VendorManagement
VND_042011,Synthetic Summit Partners 0011,supplier,1935a38850a0e770f4711e81,US,USD,NET30,wire,BA_TKN_042_0000011,BR_TKN_0011,active,2024-08-04T10:00:00,2024-08-04T10:00:00,VendorManagement
VND_042012,Synthetic Delta Networks 0012,supplier,cb6fa04b9257f40b031a4db7,US,USD,NET30,check,BA_TKN_042_0000012,BR_TKN_0012,active,2021-03-08T10:00:00,2021-03-08T10:00:00,VendorManagement
VND_042013,Synthetic Cedar Works 0013,services,adaa455dba80d50cff46eb9f,DE,EUR,NET15,ACH,BA_TKN_042_0000013,BR_TKN_0013,active,2022-10-08T10:00:00,2022-10-08T10:00:00,VendorManagement
VND_042014,Synthetic Summit Partners 0014,services,ef7678c896a29bb330f91325,US,USD,NET60,ACH,BA_TKN_042_0000014,BR_TKN_0014,active,2022-05-22T10:00:00,2022-05-22T10:00:00,VendorManagement
VND_042015,Synthetic Cedar Logistics 0015,services,5a07bfa61b9f63914a7a25a5,US,USD,NET30,ACH,BA_TKN_042_0000015,BR_TKN_0015,active,2023-01-13T10:00:00,2023-01-13T10:00:00,VendorManagement
VND_042016,Synthetic Blue Networks 0016,services,9a24da6bd2aec8341102ede7,US,USD,NET30,ACH,BA_TKN_042_0000016,BR_TKN_0016,active,2024-07-10T10:00:00,2024-07-10T10:00:00,VendorManagement
VND_042017,Synthetic North Components 0017,software,f5eae746bf76019bd9c7f2ed,US,USD,NET30,check,BA_TKN_042_0000017,BR_TKN_0017,active,2022-05-31T10:00:00,2022-05-31T10:00:00,VendorManagement
