Spec Entity,Spec Field,Actual Table/File,Actual Field,Status
approval_events,action,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,action,EXACT_MATCH
approval_events,approval_level,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,approval_level,EXACT_MATCH
approval_events,approver_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,approver_id,EXACT_MATCH
approval_events,approver_role,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,approver_role,EXACT_MATCH
approval_events,event_timestamp,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,event_timestamp,EXACT_MATCH
approval_events,invoice_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/approval_events.csv,invoice_id,EXACT_MATCH
audit_log,entity_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/audit_log.csv,entity_id,EXACT_MATCH
audit_log,entity_type,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/audit_log.csv,entity_type,EXACT_MATCH
audit_log,event_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/audit_log.csv,event_id,EXACT_MATCH
audit_log,event_type,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/audit_log.csv,event_type,EXACT_MATCH
audit_log,timestamp,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/audit_log.csv,timestamp,EXACT_MATCH
bank_transactions,amount,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,amount,EXACT_MATCH
bank_transactions,bank_transaction_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,bank_transaction_id,EXACT_MATCH
bank_transactions,counterparty_token,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,counterparty_token,EXACT_MATCH
bank_transactions,currency,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,currency,EXACT_MATCH
bank_transactions,direction,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,direction,EXACT_MATCH
bank_transactions,payment_reference,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,payment_reference,EXACT_MATCH
bank_transactions,posted_date,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,posted_date,EXACT_MATCH
bank_transactions,status,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,status,EXACT_MATCH
bank_transactions,transaction_date,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,transaction_date,EXACT_MATCH
bank_transactions,transaction_type,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/bank_transactions.csv,transaction_type,EXACT_MATCH
employees,active_status,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/employees.csv,active_status,EXACT_MATCH
employees,approval_limit,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/employees.csv,approval_limit,EXACT_MATCH
employees,employee_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/employees.csv,employee_id,EXACT_MATCH
employees,role,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/employees.csv,role,EXACT_MATCH
gl_entries,accounting_period,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,accounting_period,EXACT_MATCH
gl_entries,credit,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,credit,EXACT_MATCH
gl_entries,currency,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,currency,EXACT_MATCH
gl_entries,debit,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,debit,EXACT_MATCH
gl_entries,gl_account,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,gl_account,EXACT_MATCH
gl_entries,journal_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,journal_id,EXACT_MATCH
gl_entries,journal_line_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,journal_line_id,EXACT_MATCH
gl_entries,posting_date,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,posting_date,EXACT_MATCH
gl_entries,source_transaction_id,/Users/pratik/Desktop/O1/finrecon/data/benchmark/full/gl_entries.csv,source_transaction_id,EXACT_MATCH
