feature_id,feature_name,feature_type,source_tables,train_missing_rate,validation_missing_rate,train_cardinality,constant_train,near_constant_train,max_abs_one_vs_rest_train_correlation,suspicious_target_correlation,registry_leakage_status,retained_under_frozen_registry
CAT001,primary_entity_type,categorical,routing metadata,0.0,0.0,4,False,False,,False,PASS,True
CAT002,invoice_currency,categorical,invoices,0.0,0.0,6,False,False,,False,PASS,True
CAT003,invoice_status,categorical,invoices,0.0,0.0,6,False,False,,False,PASS,True
CAT004,invoice_payment_terms,categorical,invoices,0.0,0.0,6,False,False,,False,PASS,True
CAT005,invoice_department,categorical,invoice_lines,0.0,0.0,9,False,False,,False,PASS,True
CAT006,invoice_gl_account,categorical,invoice_lines,0.0,0.0,9,False,False,,False,PASS,True
CAT007,po_currency,categorical,purchase_orders,0.0,0.0,6,False,False,,False,PASS,True
CAT008,po_status,categorical,purchase_orders,0.0,0.0,2,False,False,,False,PASS,True
CAT009,po_department,categorical,purchase_orders,0.0,0.0,9,False,False,,False,PASS,True
CAT010,po_gl_account,categorical,purchase_orders,0.0,0.0,9,False,False,,False,PASS,True
CAT011,vendor_type,categorical,vendors,0.0,0.0,6,False,False,,False,PASS,True
CAT012,vendor_country,categorical,vendors,0.0,0.0,6,False,False,,False,PASS,True
CAT013,vendor_currency,categorical,vendors,0.0,0.0,6,False,False,,False,PASS,True
CAT014,vendor_payment_terms,categorical,vendors,0.0,0.0,6,False,False,,False,PASS,True
CAT015,vendor_default_payment_method,categorical,vendors,0.0,0.0,5,False,False,,False,PASS,True
CAT016,vendor_status,categorical,vendors,0.0,0.0,3,False,False,,False,PASS,True
CAT017,payment_method,categorical,payments,0.0,0.0,5,False,False,,False,PASS,True
CAT018,payment_currency,categorical,payments,0.0,0.0,6,False,False,,False,PASS,True
CAT019,payment_status,categorical,payments,0.0,0.0,4,False,False,,False,PASS,True
CAT020,settlement_status,categorical,payments,0.0,0.0,5,False,False,,False,PASS,True
CAT021,bank_transaction_type,categorical,bank_transactions,0.0,0.0,6,False,False,,False,PASS,True
CAT022,bank_currency,categorical,bank_transactions,0.0,0.0,6,False,False,,False,PASS,True
CAT023,bank_direction,categorical,bank_transactions,0.0,0.0,2,False,False,,False,PASS,True
CAT024,bank_status,categorical,bank_transactions,0.0,0.0,3,False,False,,False,PASS,True
CAT025,final_approval_role,categorical,approval_events,0.0,0.0,5,False,False,,False,PASS,True
CAT026,final_approval_action,categorical,approval_events,0.0,0.0,3,False,False,,False,PASS,True
CAT027,gl_primary_transaction_type,categorical,gl_entries,0.0,0.0,2,False,False,,False,PASS,True
NUM001,invoice_total,numeric,invoices,0.08305369127516779,0.09615384615384616,1041,False,False,0.06813800980969022,False,PASS,True
NUM002,invoice_subtotal,numeric,invoices,0.08305369127516779,0.09615384615384616,1041,False,False,0.06604345023312885,False,PASS,True
NUM003,invoice_tax,numeric,invoices,0.08305369127516779,0.09615384615384616,785,False,False,0.0790610553190345,False,PASS,True
NUM004,invoice_shipping,numeric,invoices,0.08305369127516779,0.09615384615384616,261,False,False,0.1133253641813144,False,PASS,True
NUM005,invoice_age_calendar_days,numeric,invoices,0.08305369127516779,0.09615384615384616,451,False,False,0.06997926391569403,False,PASS,True
