rule,failure_type,N,precision,recall,f1,FP,FN,insufficient_evidence
F01,F01_DUPLICATE_INVOICE,21,1.0,1.0,1.0,0,0,0
F02,F02_PO_INVOICE_AMOUNT_MISMATCH,20,0.9,0.9,0.9,2,2,0
F03,F03_QUANTITY_MISMATCH,18,1.0,1.0,1.0,0,0,0
F04,F04_INCORRECT_VENDOR_ASSOCIATION,17,1.0,1.0,1.0,0,0,0
F05,F05_PAYMENT_WITHOUT_VALID_INVOICE,22,1.0,1.0,1.0,0,0,0
F06,F06_INVOICE_PAID_TWICE,12,1.0,1.0,1.0,0,0,0
F07,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,18,0.9473684210526315,1.0,0.972972972972973,1,0,0
F08,F08_APPROVAL_WORKFLOW_FAILURE,22,0.9523809523809523,0.9090909090909091,0.9302325581395349,1,2,0
F09,F09_GL_POSTING_MISMATCH,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,3,3,0
F10,F10_WRONG_ACCOUNTING_PERIOD,20,1.0,1.0,1.0,0,0,0
F11,F11_VENDOR_MASTER_CHANGE_CONFLICT,23,0.9583333333333334,1.0,0.9787234042553191,1,0,0
F12,F12_ERP_PAYMENT_MISSING_FROM_BANK,21,1.0,1.0,1.0,0,0,0
F13,F13_BANK_TRANSACTION_MISSING_FROM_ERP,28,1.0,1.0,1.0,0,0,0
F14,F14_BANK_ERP_AMOUNT_MISMATCH,16,0.8,1.0,0.888888888888889,4,0,0
F15,F15_INCORRECT_PAYMENT_BANK_MATCH,20,1.0,0.95,0.9743589743589743,0,1,0
