feature,importance_mean,importance_std
numeric__payment_ap_debit_abs_diff,0.11087840502431807,0.007709472550914045
numeric__payment_allocated_abs_diff,0.08606245541239596,0.0029220219445198537
numeric__invoice_paid_rel_diff,0.08563527263899519,0.007773258443360179
numeric__duplicate_exact_reference_count,0.07502838262288733,0.004548742846463426
numeric__invoice_po_line_quantity_abs_diff,0.07449176809100912,0.0050277870532160224
categorical__primary_entity_type_GL_JOURNAL,0.07369648737083989,0.002889230147699904
numeric__vendor_name_token_count,0.06685940179157329,0.006113648338465534
numeric__bank_reference_match_count,0.06431805329828559,0.00861617015631633
numeric__invoice_po_total_rel_diff,0.04875335928295149,0.003233078738603443
numeric__bank_fee_adjusted_abs_diff,0.0473394514491692,0.005512025984660373
numeric__bank_economic_candidate_count,0.0470768147654559,0.007265851736027449
numeric__invoice_paid_abs_diff,0.04501088141780939,0.005079474075372743
numeric__invoice_po_vendor_match,0.03837432218921838,0.006828123199193875
numeric__payment_bank_abs_diff,0.033654247758372856,0.004974041094157062
categorical__settlement_status_FAILED,0.026571695431019206,0.0018403298468473142
categorical__primary_entity_type_PAYMENT,0.02368547334445841,0.006441541449633919
categorical__primary_entity_type_INVOICE,0.020581811721072575,0.006334108335077671
numeric__approval_event_count,0.02039323596833679,0.0036446753992137775
numeric__days_payment_to_bank,0.010672470915283372,0.002537803466437604
numeric__approval_effective_count,0.010654800567555722,0.002266270191796859
categorical__payment_status_COMPLETED,0.00864879062138162,0.0020423868966054403
numeric__linked_payment_count,0.008007851762489393,0.0008649185030329088
categorical__bank_status_POSTED,0.007530934013819379,0.0035589855623953002
numeric__payment_amount,0.006695871438782508,0.002313142205480538
numeric__minutes_final_approval_to_payment,0.006606323148025362,0.0015233859023329854
numeric__linked_invoice_total_sum,0.004978563570981631,0.0027771233334766407
numeric__payment_bank_rel_diff,0.00473153149425527,0.0006457423494726555
categorical__invoice_status_PAID,0.003985579154075958,0.003359353294695685
categorical__invoice_status_APPROVED,0.003823428679865559,0.0011418146111866357
numeric__invoice_line_amount_sum,0.0031109691987017407,0.0026445101310116482
numeric__duplicate_same_vendor_count,0.002977921342925627,0.002589136384461106
numeric__payment_bank_currency_match,0.002951210226910117,0.0014110311920686898
numeric__po_line_count,0.0028940144205435113,0.0008139503942092847
numeric__approval_max_level,0.002457278584316047,0.0011294231206789135
categorical__bank_transaction_type_WIRE_DEBIT,0.0021995175540572287,0.0007331725180190762
numeric__gl_ap_debit,0.002048157405254614,0.0014847404049533575
categorical__settlement_status_SETTLED,0.001973765668739469,0.0014115663973876995
numeric__invoice_shipping,0.001963782647446355,0.0014837831469635698
categorical__bank_currency_GBP,0.0017943431726701541,0.0005927216093606022
numeric__duplicate_min_date_gap_days,0.0017548738023717924,0.0016688674426075661
numeric__invoice_line_quantity_sum,0.001696185130169714,0.0013114951398013643
