case_id,actual,rules_prediction,rules_status,ml_prediction,ml_probability,tier,hop_count,failure_type,exact_partition,binary_partition,ml_error_category,ml_secondary_causes,rules_error_category
RCA_000001,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9994135483786566,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000006,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9994863692489889,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000007,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9992181552520498,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000012,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9993016032001046,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000013,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9996570548084688,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000018,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9994095774370004,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000024,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9992409614592769,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000036,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9996092720586708,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000042,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9993187523797898,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000048,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9991397082552589,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000058,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9985929485245957,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000062,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9992197107143412,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000063,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9990259107201148,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000067,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9993818564605248,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000069,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9995704346070756,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000070,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9991073031779468,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000074,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9993814135603348,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000075,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9994047913870376,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000080,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9994489305501186,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000085,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9996021064390189,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000090,F01_DUPLICATE_INVOICE,F01_DUPLICATE_INVOICE,ANOMALY,F01_DUPLICATE_INVOICE,0.9989114918762464,1,0,F01_DUPLICATE_INVOICE,both_correct,both_correct,,,
RCA_000105,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9996074717044618,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000107,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9989818368755573,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000113,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9994809022776342,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000128,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9994029856098147,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000132,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9991622272087913,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000137,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.999572497002135,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000140,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9981274095360116,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000141,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9993026351907348,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000146,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,NO_FAILURE,0.7766214446043549,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,rules_only_correct,rules_only_correct,MISSING_INFORMATION,CLASS_CONFUSION,
RCA_000153,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9991294563639895,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000156,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,NO_FAILURE,0.8378472065427903,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,rules_only_correct,rules_only_correct,MISSING_INFORMATION,CLASS_CONFUSION,
RCA_000161,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9995523101581164,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000165,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.998997054313221,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000168,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9992262498704229,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000169,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.998071486779582,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000170,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9988722126669455,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
RCA_000174,F02_PO_INVOICE_AMOUNT_MISMATCH,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9986627305856989,3,2,F02_PO_INVOICE_AMOUNT_MISMATCH,both_correct,both_correct,,,
