class,actual_support,predicted_support
F01_DUPLICATE_INVOICE,21,21
F02_PO_INVOICE_AMOUNT_MISMATCH,20,20
F03_QUANTITY_MISMATCH,18,18
F04_INCORRECT_VENDOR_ASSOCIATION,17,17
F05_PAYMENT_WITHOUT_VALID_INVOICE,22,22
F06_INVOICE_PAID_TWICE,12,12
F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,18,19
F08_APPROVAL_WORKFLOW_FAILURE,22,21
F09_GL_POSTING_MISMATCH,17,17
F10_WRONG_ACCOUNTING_PERIOD,20,20
F11_VENDOR_MASTER_CHANGE_CONFLICT,23,24
F12_ERP_PAYMENT_MISSING_FROM_BANK,21,21
F13_BANK_TRANSACTION_MISSING_FROM_ERP,28,28
F14_BANK_ERP_AMOUNT_MISMATCH,16,20
F15_INCORRECT_PAYMENT_BANK_MATCH,20,19
NO_FAILURE,144,140
