actual,F01_DUPLICATE_INVOICE,F02_PO_INVOICE_AMOUNT_MISMATCH,F03_QUANTITY_MISMATCH,F04_INCORRECT_VENDOR_ASSOCIATION,F05_PAYMENT_WITHOUT_VALID_INVOICE,F06_INVOICE_PAID_TWICE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,F08_APPROVAL_WORKFLOW_FAILURE,F09_GL_POSTING_MISMATCH,F10_WRONG_ACCOUNTING_PERIOD,F11_VENDOR_MASTER_CHANGE_CONFLICT,F12_ERP_PAYMENT_MISSING_FROM_BANK,F13_BANK_TRANSACTION_MISSING_FROM_ERP,F14_BANK_ERP_AMOUNT_MISMATCH,F15_INCORRECT_PAYMENT_BANK_MATCH,NO_FAILURE
F01_DUPLICATE_INVOICE,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F02_PO_INVOICE_AMOUNT_MISMATCH,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2
F03_QUANTITY_MISMATCH,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
F04_INCORRECT_VENDOR_ASSOCIATION,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
F05_PAYMENT_WITHOUT_VALID_INVOICE,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
F06_INVOICE_PAID_TWICE,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
F08_APPROVAL_WORKFLOW_FAILURE,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2
F09_GL_POSTING_MISMATCH,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3
F10_WRONG_ACCOUNTING_PERIOD,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
F11_VENDOR_MASTER_CHANGE_CONFLICT,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
F12_ERP_PAYMENT_MISSING_FROM_BANK,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
F13_BANK_TRANSACTION_MISSING_FROM_ERP,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
F14_BANK_ERP_AMOUNT_MISMATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
F15_INCORRECT_PAYMENT_BANK_MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
NO_FAILURE,0,2,0,0,0,0,1,1,3,0,1,0,0,4,0,132
