case_id,actual,predicted,predicted_probability,tier,hop_count,primary_cause,secondary_causes,active_missing_features,unseen_categories,rules_prediction,rules_status,exact_comparison_partition
RCA_000146,F02_PO_INVOICE_AMOUNT_MISMATCH,NO_FAILURE,0.7766214446043549,3,2,CLASS_CONFUSION,,missing_payment|missing_bank_transaction|missing_gl|missing_approval|missing_allocations,,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,rules_only_correct
RCA_000156,F02_PO_INVOICE_AMOUNT_MISMATCH,NO_FAILURE,0.8378472065427903,3,2,CLASS_CONFUSION,,missing_payment|missing_bank_transaction|missing_gl|missing_approval|missing_allocations,,F02_PO_INVOICE_AMOUNT_MISMATCH,ANOMALY,rules_only_correct
RCA_000766,F08_APPROVAL_WORKFLOW_FAILURE,NO_FAILURE,0.7403700838232308,3,4,RELATIONAL_COMPLEXITY,CLASS_CONFUSION,missing_vendor_change_history,,F08_APPROVAL_WORKFLOW_FAILURE,ANOMALY,rules_only_correct
RCA_000784,F08_APPROVAL_WORKFLOW_FAILURE,NO_FAILURE,0.8112376970299416,3,4,RELATIONAL_COMPLEXITY,CLASS_CONFUSION,missing_vendor_change_history,,F08_APPROVAL_WORKFLOW_FAILURE,ANOMALY,rules_only_correct
RCA_000830,F09_GL_POSTING_MISMATCH,NO_FAILURE,0.4359885238692024,2,1,AMBIGUOUS_CASE,CLASS_CONFUSION,,,F09_GL_POSTING_MISMATCH,ANOMALY,rules_only_correct
RCA_000831,F09_GL_POSTING_MISMATCH,NO_FAILURE,0.8198241513152494,2,1,CLASS_CONFUSION,,,,F09_GL_POSTING_MISMATCH,ANOMALY,rules_only_correct
RCA_000852,F09_GL_POSTING_MISMATCH,NO_FAILURE,0.5061342701403966,2,1,CLASS_CONFUSION,,missing_vendor_change_history,,F09_GL_POSTING_MISMATCH,ANOMALY,rules_only_correct
RCA_001497,F15_INCORRECT_PAYMENT_BANK_MATCH,NO_FAILURE,0.48380602166491665,3,3,RELATIONAL_COMPLEXITY,CLASS_CONFUSION,missing_vendor_change_history,,F15_INCORRECT_PAYMENT_BANK_MATCH,ANOMALY,rules_only_correct
RCA_001504,NO_FAILURE,F09_GL_POSTING_MISMATCH,0.94400428909342,0,0,CLASS_CONFUSION,,,,,INSUFFICIENT_EVIDENCE,both_wrong
RCA_001584,NO_FAILURE,F09_GL_POSTING_MISMATCH,0.5419493005721117,0,0,CLASS_CONFUSION,,,,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,both_wrong
RCA_001585,NO_FAILURE,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9592649759141064,0,0,CLASS_CONFUSION,,missing_payment|missing_bank_transaction|missing_gl|missing_approval|missing_allocations|missing_vendor_change_history,,NO_FAILURE,MATCH,rules_only_correct
RCA_001709,NO_FAILURE,F11_VENDOR_MASTER_CHANGE_CONFLICT,0.7630885362081711,0,0,CLASS_CONFUSION,,,,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,both_wrong
RCA_001770,NO_FAILURE,F14_BANK_ERP_AMOUNT_MISMATCH,0.5808367959378077,0,0,CLASS_CONFUSION,,missing_vendor_change_history,,,INSUFFICIENT_EVIDENCE,both_wrong
RCA_001840,NO_FAILURE,F09_GL_POSTING_MISMATCH,0.9668633843288345,0,0,CLASS_CONFUSION,,missing_vendor_change_history,,NO_FAILURE,MATCH,rules_only_correct
RCA_001914,NO_FAILURE,F14_BANK_ERP_AMOUNT_MISMATCH,0.5500517012874471,0,0,CLASS_CONFUSION,,,,,INSUFFICIENT_EVIDENCE,both_wrong
RCA_001918,NO_FAILURE,F08_APPROVAL_WORKFLOW_FAILURE,0.7717201626861881,0,0,CLASS_CONFUSION,,,,NO_FAILURE,MATCH,rules_only_correct
RCA_001942,NO_FAILURE,F14_BANK_ERP_AMOUNT_MISMATCH,0.719015803691779,0,0,CLASS_CONFUSION,,,,,INSUFFICIENT_EVIDENCE,both_wrong
RCA_002065,NO_FAILURE,F02_PO_INVOICE_AMOUNT_MISMATCH,0.9726608310354329,0,0,CLASS_CONFUSION,,missing_payment|missing_bank_transaction|missing_gl|missing_approval|missing_allocations|missing_vendor_change_history,,NO_FAILURE,MATCH,rules_only_correct
RCA_002086,NO_FAILURE,F14_BANK_ERP_AMOUNT_MISMATCH,0.6541844294943125,0,0,CLASS_CONFUSION,,missing_vendor_change_history,,,INSUFFICIENT_EVIDENCE,both_wrong
RCA_002159,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,0.5903901038011717,0,0,CLASS_CONFUSION,,,,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,both_wrong
