dimension,value,count
failure_type,F02_PO_INVOICE_AMOUNT_MISMATCH,2
failure_type,F08_APPROVAL_WORKFLOW_FAILURE,2
failure_type,F09_GL_POSTING_MISMATCH,3
failure_type,F15_INCORRECT_PAYMENT_BANK_MATCH,1
failure_type,NO_FAILURE,12
tier,0,12
tier,2,3
tier,3,5
hop_count,0,12
hop_count,1,3
hop_count,2,2
hop_count,3,1
hop_count,4,2
error_category,AMBIGUOUS_CASE,1
error_category,CLASS_CONFUSION,16
error_category,RELATIONAL_COMPLEXITY,3
confidence_band,"[0,0.5)",2
confidence_band,"[0.5,0.8)",11
confidence_band,"[0.8,1.0]",7
