case_id,primary_entity_type,invoice_currency,invoice_status,invoice_payment_terms,invoice_department,invoice_gl_account,po_currency,po_status,po_department,po_gl_account,vendor_type,vendor_country,vendor_currency,vendor_payment_terms,vendor_default_payment_method,vendor_status,payment_method,payment_currency,payment_status,settlement_status,bank_transaction_type,bank_currency,bank_direction,bank_status,final_approval_role,final_approval_action,gl_primary_transaction_type,invoice_total,invoice_subtotal,invoice_tax,invoice_shipping,invoice_age_calendar_days,invoice_due_lag_days,invoice_received_delay_days,invoice_line_count,invoice_line_quantity_sum,invoice_line_amount_sum,invoice_line_unit_price_mean,po_total,po_subtotal,po_tax,po_shipping,po_age_calendar_days,po_line_count,po_line_quantity_sum,po_line_amount_sum,payment_amount,payment_age_calendar_days,allocation_count,allocated_amount_sum,linked_invoice_count,linked_invoice_total_sum,linked_payment_count,bank_amount,bank_age_calendar_days,bank_reference_match_count,gl_line_count,gl_journal_count,gl_total_debit,gl_total_credit,gl_ap_debit,gl_cash_credit,approval_event_count,approval_effective_count,approval_max_level,approval_distinct_role_count,approval_missing_employee_actor_count,vendor_change_count,vendor_change_before_payment_count,vendor_name_length,vendor_name_token_count,duplicate_same_vendor_count,duplicate_exact_reference_count,duplicate_best_reference_similarity,duplicate_min_date_gap_days,duplicate_min_amount_gap,bank_fee_debit_total,fx_journal_count,fx_event_count,payment_reference_use_count,bank_economic_candidate_count,invoice_po_total_abs_diff,invoice_po_total_rel_diff,invoice_po_tax_abs_diff,invoice_po_shipping_abs_diff,invoice_po_line_amount_abs_diff,invoice_po_line_quantity_abs_diff,payment_allocated_abs_diff,payment_allocated_rel_diff,invoice_paid_abs_diff,invoice_paid_rel_diff,payment_bank_abs_diff,payment_bank_rel_diff,gl_balance_abs_diff,payment_ap_debit_abs_diff,payment_cash_credit_abs_diff,bank_fee_adjusted_abs_diff,days_po_to_invoice,days_invoice_to_payment,days_payment_to_bank,minutes_final_approval_to_payment,invoice_has_po,po_found,invoice_po_vendor_match,invoice_po_currency_match,all_invoice_lines_po_linked,any_invoice_line_missing_po_target,invoice_po_quantities_all_equal,payment_has_allocations,allocations_all_invoices_found,payment_invoice_currency_all_match,payment_invoice_vendor_all_match,payment_reference_present,payment_reference_unique,bank_reference_match_found,bank_reference_match_unique,payment_bank_currency_match,payment_bank_token_match,gl_source_found,gl_currency_all_match,gl_period_all_match_payment_month,vendor_current_token_match,vendor_bank_history_present,final_approver_employee_found,final_approver_active,final_approver_role_match,invoice_reference_present,missing_invoice,missing_po,missing_vendor,missing_payment,missing_bank_transaction,missing_gl,missing_approval,missing_employee,missing_reference,missing_currency,missing_amount,missing_invoice_lines,missing_po_lines,missing_allocations,missing_vendor_change_history,scope_invoice_count,scope_payment_count,scope_bank_count,scope_distinct_invoice_vendor_count,scope_distinct_payment_vendor_count
RCA_000005,INVOICE,USD,RECEIVED,NET45,LEGAL,670100-LEGAL,__MISSING__,__MISSING__,__MISSING__,__MISSING__,SOFTWARE,US,USD,NET45,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,4117.6899999999996,3830.4099999999999,287.27999999999997,0,369,45,0,1,1,3830.4099999999999,3830.4099999999999,,,,,,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,1,0,30,4,350,1,1,0,0,0,0,0,0,0,,,,,,,,,4117.6899999999996,1,,,0,,,,,,,,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
RCA_000008,INVOICE,USD,RECEIVED,NET45,IT,680100-IT,USD,ISSUED,IT,680100-IT,SOFTWARE,US,USD,NET45,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,2914.5999999999999,2775.8099999999999,138.78999999999999,0,249,45,5,2,31,2775.8099999999999,87.960000000000008,2914.5999999999999,2775.8099999999999,138.78999999999999,0,275,2,31,2775.8099999999999,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,29,4,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2914.5999999999999,1,,,0,,,,26,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000009,INVOICE,USD,RECEIVED,DUE_ON_RECEIPT,PEOPLE,660100-PEOPLE,USD,ISSUED,PEOPLE,660100-PEOPLE,SOFTWARE,US,USD,DUE_ON_RECEIPT,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,2215.2800000000002,2060.73,154.55000000000001,0,480,0,5,2,18,2060.73,167.435,2215.2800000000002,2060.73,154.55000000000001,0,494,2,18,2060.73,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,2,0,32,4,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2215.2800000000002,1,,,0,,,,14,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
RCA_000010,INVOICE,USD,RECEIVED,NET30,PEOPLE,660100-PEOPLE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,SOFTWARE,US,USD,NET30,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,403.33999999999997,375.19999999999999,28.140000000000001,0,167,30,1,1,8,375.19999999999999,46.899999999999999,,,,,,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,30,4,42,1,1,0,0,0,0,0,0,0,,,,,,,,,403.33999999999997,1,,,0,,,,,,,,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000011,INVOICE,USD,RECEIVED,DUE_ON_RECEIPT,OPERATIONS,620100-OPERATIONS,USD,ISSUED,OPERATIONS,620100-OPERATIONS,SERVICES,US,USD,DUE_ON_RECEIPT,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,8868.6700000000001,8249.9300000000003,618.74000000000001,0,368,0,5,3,30,8249.9300000000003,334.70333333333332,8868.6700000000001,8249.9300000000003,618.74000000000001,0,383,3,30,8249.9300000000003,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,31,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8868.6700000000001,1,,,0,,,,15,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000015,INVOICE,USD,RECEIVED,NET45,SALES,640100-SALES,USD,ISSUED,SALES,640100-SALES,SUPPLIER,US,USD,NET45,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,4014.27,3649.3400000000001,364.93000000000001,0,275,45,0,2,19,3649.3400000000001,319.14999999999998,4014.27,3649.3400000000001,364.93000000000001,0,275,2,19,3649.3400000000001,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,33,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4014.27,1,,,0,,,,0,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000016,INVOICE,USD,RECEIVED,NET30,OPERATIONS,620100-OPERATIONS,USD,ISSUED,OPERATIONS,620100-OPERATIONS,SUPPLIER,US,USD,NET30,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,4894.7399999999998,4437.8999999999996,443.79000000000002,13.050000000000001,400,30,1,1,9,4437.8999999999996,493.10000000000002,4894.7399999999998,4437.8999999999996,443.79000000000002,13.050000000000001,416,1,9,4437.8999999999996,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,35,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4894.7399999999998,1,,,0,,,,16,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000022,INVOICE,USD,RECEIVED,NET30,LEGAL,670100-LEGAL,USD,ISSUED,LEGAL,670100-LEGAL,SERVICES,US,USD,NET30,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,9812.9699999999993,9119.0799999999999,683.92999999999995,9.9600000000000009,488,30,5,3,23,9119.0799999999999,612,9812.9699999999993,9119.0799999999999,683.92999999999995,9.9600000000000009,516,3,23,9119.0799999999999,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,1,0,30,4,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9812.9699999999993,1,,,0,,,,28,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
RCA_000023,INVOICE,EUR,RECEIVED,NET30,ENGINEERING,610100-ENGINEERING,EUR,ISSUED,ENGINEERING,610100-ENGINEERING,PROFESSIONAL,DE,EUR,NET30,ACH,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,9186.5799999999999,8545.6599999999999,640.91999999999996,0,313,30,4,3,35,8545.6599999999999,959.37,9186.5799999999999,8545.6599999999999,640.91999999999996,0,335,3,35,8545.6599999999999,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,31,4,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9186.5799999999999,1,,,0,,,,22,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
RCA_000025,INVOICE,GBP,RECEIVED,NET60,LEGAL,670100-LEGAL,GBP,ISSUED,LEGAL,670100-LEGAL,SOFTWARE,GB,GBP,NET60,WIRE,ACTIVE,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,7902.0200000000004,7183.6499999999996,718.37,0,474,60,3,4,49,7183.6499999999996,210.5675,7902.0200000000004,7183.6499999999996,718.37,0,499,4,49,7183.6499999999996,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,30,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7902.0200000000004,1,,,0,,,,25,,,,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
