rule,failure_type,N,precision,recall,f1,FP,FN,insufficient_evidence
RSQL_F01_V1,F01_DUPLICATE_INVOICE,21,1.0,1.0,1.0,0,0,0
RSQL_F02_V1,F02_PO_INVOICE_AMOUNT_MISMATCH,20,1.0,1.0,1.0,0,0,0
RSQL_F03_V1,F03_QUANTITY_MISMATCH,18,1.0,1.0,1.0,0,0,0
RSQL_F04_V1,F04_INCORRECT_VENDOR_ASSOCIATION,17,1.0,1.0,1.0,0,0,0
RSQL_F05_V1,F05_PAYMENT_WITHOUT_VALID_INVOICE,22,1.0,1.0,1.0,0,0,0
RSQL_F06_V1,F06_INVOICE_PAID_TWICE,12,1.0,0.8333333333333334,0.9090909090909091,0,2,0
RSQL_F07_V1,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,18,0.75,1.0,0.8571428571428571,6,0,0
RSQL_F08_V1,F08_APPROVAL_WORKFLOW_FAILURE,22,0.9166666666666666,1.0,0.9565217391304348,2,0,0
RSQL_F09_V1,F09_GL_POSTING_MISMATCH,17,1.0,1.0,1.0,0,0,0
RSQL_F10_V1,F10_WRONG_ACCOUNTING_PERIOD,20,0.9523809523809523,1.0,0.975609756097561,1,0,0
RSQL_F11_V1,F11_VENDOR_MASTER_CHANGE_CONFLICT,23,0.8214285714285714,1.0,0.9019607843137255,5,0,0
RSQL_F12_V1,F12_ERP_PAYMENT_MISSING_FROM_BANK,21,1.0,0.9047619047619048,0.9500000000000001,0,2,0
RSQL_F13_V1,F13_BANK_TRANSACTION_MISSING_FROM_ERP,28,1.0,1.0,1.0,0,0,0
RSQL_F14_V1,F14_BANK_ERP_AMOUNT_MISMATCH,16,1.0,1.0,1.0,0,0,0
RSQL_F15_V1,F15_INCORRECT_PAYMENT_BANK_MATCH,20,0.9090909090909091,1.0,0.9523809523809523,2,0,0
