case_id,classification_correct,evidence_contract_pass,ground_truth_evidence_ids,returned_identity_tokens,id_precision,id_recall,required_tables,returned_tables,required_table_coverage
RCA_000001,True,True,INVL_0437978|INV_0424672|INV_0428001,INV_0424672|INV_0428001,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000006,True,True,INVL_0437988|INV_0422551|INV_0428006,INV_0422551|INV_0428006,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000007,True,True,INVL_0437992|INV_0421920|INV_0428007,INV_0421920|INV_0428007,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000012,True,True,INVL_0438002|INV_0427136|INV_0428012,INV_0427136|INV_0428012,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000013,True,True,INVL_0438005|INV_0420810|INV_0428013,INV_0420810|INV_0428013,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000018,True,True,INVL_0438015|INV_0424652|INV_0428018,INV_0424652|INV_0428018,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000024,True,True,INVL_0438028|INV_0420307|INV_0428024,INV_0420307|INV_0428024,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000036,True,True,INVL_0438057|INV_0424355|INV_0428036,INV_0424355|INV_0428036,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000042,True,True,INVL_0438072|INV_0427305|INV_0428042,INV_0427305|INV_0428042,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000048,True,True,INVL_0438085|INV_0422732|INV_0428048,INV_0422732|INV_0428048,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000058,True,True,INVL_0438108|INV_0425597|INV_0428058,INV_0425597|INV_0428058,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000062,True,True,INVL_0438116|INV_0426726|INV_0428062,INV_0426726|INV_0428062,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000063,True,True,INVL_0438118|INV_0423321|INV_0428063,INV_0423321|INV_0428063,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000067,True,True,INVL_0438130|INV_0426311|INV_0428067,INV_0426311|INV_0428067,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000069,True,True,INVL_0438136|INV_0424140|INV_0428069,INV_0424140|INV_0428069,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000070,True,True,INVL_0438139|INV_0420933|INV_0428070,INV_0420933|INV_0428070,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000074,True,True,INVL_0438147|INV_0423428|INV_0428074,INV_0423428|INV_0428074,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000075,True,True,INVL_0438150|INV_0422451|INV_0428075,INV_0422451|INV_0428075,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000080,True,True,INVL_0438161|INV_0420848|INV_0428080,INV_0420848|INV_0428080,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000085,True,True,INVL_0438171|INV_0423247|INV_0428085,INV_0423247|INV_0428085,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000090,True,True,INVL_0438179|INV_0427834|INV_0428090,INV_0427834|INV_0428090,1.0,0.6666666666666666,invoice_lines|invoices,invoices,0.5
RCA_000105,True,True,INVL_0424333|INV_0421919|PO_0422279,INVL_0424333|INV_0421919|POL_0425084|PO_0422279,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000107,True,True,INVL_0424576|INV_0422025|PO_0420605,INVL_0424576|INV_0422025|POL_0421374|PO_0420605,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000113,True,True,INVL_0420257|INV_0420115|PO_0421454,INVL_0420257|INV_0420115|POL_0423262|PO_0421454,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000128,True,True,INVL_0425592|INV_0422487|PO_0422666,INVL_0425592|INV_0422487|POL_0425992|PO_0422666,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000132,True,True,INVL_0425105|INV_0422266|PO_0422350,INVL_0425105|INV_0422266|POL_0425258|PO_0422350,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000137,True,True,INVL_0428580|INV_0423804|PO_0424958,INVL_0428580|INV_0423804|POL_0431131|PO_0424958,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000140,True,True,INVL_0428148|INV_0423608|PO_0424137,INVL_0428148|INV_0423608|POL_0429269|PO_0424137,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000141,True,True,INVL_0425877|INV_0422611|PO_0421132,INVL_0425877|INV_0422611|POL_0422552|PO_0421132,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000146,True,True,INVL_0427545|INV_0423338|PO_0423338,INVL_0427545|INV_0423338|POL_0427516|PO_0423338,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000153,True,True,INVL_0421846|INV_0420831|PO_0423432,INVL_0421846|INV_0420831|POL_0427730|PO_0423432,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000156,True,True,INVL_0421553|INV_0420701|PO_0424002,INVL_0421553|INV_0420701|POL_0428973|PO_0424002,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000161,True,True,INVL_0425128|INV_0422276|PO_0424520,INVL_0425128|INV_0422276|POL_0430154|PO_0424520,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000165,True,True,INVL_0428256|INV_0423656|PO_0423952,INVL_0428256|INV_0423656|POL_0428866|PO_0423952,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
RCA_000168,True,True,INVL_0430742|INV_0424780|PO_0421155,INVL_0430742|INV_0424780|POL_0422600|PO_0421155,0.75,1.0,invoice_lines|invoices|po_lines|purchase_orders,invoice_lines|invoices|po_lines|purchase_orders,1.0
